Application,PutFile access token used,Additional notes
Word for the web,"Any access token may be used, depending on which user changed the document most recently during the auto-save interval.",
Excel for the web,User C,
PowerPoint for the web,"Any access token may be used, depending on which user changed the document most recently during the auto-save interval.",
